Time;Event;Type;Total
1;Censored;;0
1;Event;  I;0
1;Event; A;1
1;Event; B;0
1;Event; C;0
1;Event; E;0
1;Event; F;0
1;Event; G;0
1;Event; H;0
1;Event; J;0
1;Event; K;0
1;Event; L;0
1;Event; M;0
1;Event; N;0
1;Event; O;2
1;Event; P;0
1;Event; Q;0
1;Event; R;0
1;Event; S;0
1;Event; T;0
1;Event; X;0
1;Event;D;0
2;Censored;;0
2;Event;  I;0
2;Event; A;0
2;Event; B;0
2;Event; C;0
2;Event; E;0
2;Event; F;0
2;Event; G;0
2;Event; H;0
2;Event; J;0
2;Event; K;0
2;Event; L;1
2;Event; M;0
2;Event; N;1
2;Event; O;0
2;Event; P;0
2;Event; Q;0
2;Event; R;0
2;Event; S;0
2;Event; T;0
2;Event; X;0
2;Event;D;0
3;Censored;;0
3;Event;  I;0
3;Event; A;0
3;Event; B;0
3;Event; C;0
3;Event; E;0
3;Event; F;0
3;Event; G;0
3;Event; H;0
3;Event; J;0
3;Event; K;0
3;Event; L;0
3;Event; M;0
3;Event; N;0
3;Event; O;0
3;Event; P;0
3;Event; Q;1
3;Event; R;1
3;Event; S;0
3;Event; T;0
3;Event; X;0
3;Event;D;0
4;Censored;;0
4;Event;  I;0
4;Event; A;1
4;Event; B;0
4;Event; C;0
4;Event; E;0
4;Event; F;0
4;Event; G;0
4;Event; H;0
4;Event; J;0
4;Event; K;0
4;Event; L;0
4;Event; M;2
4;Event; N;1
4;Event; O;0
4;Event; P;0
4;Event; Q;0
4;Event; R;0
4;Event; S;0
4;Event; T;0
4;Event; X;0
4;Event;D;1
5;Censored;;0
5;Event;  I;0
5;Event; A;1
5;Event; B;0
5;Event; C;0
5;Event; E;0
5;Event; F;0
5;Event; G;0
5;Event; H;0
5;Event; J;0
5;Event; K;0
5;Event; L;0
5;Event; M;0
5;Event; N;0
5;Event; O;1
5;Event; P;0
5;Event; Q;0
5;Event; R;0
5;Event; S;0
5;Event; T;0
5;Event; X;0
5;Event;D;0
6;Censored;;0
6;Event;  I;0
6;Event; A;1
6;Event; B;0
6;Event; C;0
6;Event; E;0
6;Event; F;0
6;Event; G;0
6;Event; H;0
6;Event; J;0
6;Event; K;1
6;Event; L;0
6;Event; M;0
6;Event; N;0
6;Event; O;0
6;Event; P;0
6;Event; Q;0
6;Event; R;0
6;Event; S;0
6;Event; T;0
6;Event; X;0
6;Event;D;1
7;Censored;;0
7;Event;  I;0
7;Event; A;2
7;Event; B;0
7;Event; C;0
7;Event; E;0
7;Event; F;0
7;Event; G;0
7;Event; H;0
7;Event; J;1
7;Event; K;1
7;Event; L;2
7;Event; M;0
7;Event; N;0
7;Event; O;0
7;Event; P;0
7;Event; Q;0
7;Event; R;0
7;Event; S;0
7;Event; T;0
7;Event; X;0
7;Event;D;0
8;Censored;;13
8;Event;  I;0
8;Event; A;4
8;Event; B;0
8;Event; C;0
8;Event; E;0
8;Event; F;0
8;Event; G;0
8;Event; H;0
8;Event; J;0
8;Event; K;1
8;Event; L;0
8;Event; M;1
8;Event; N;0
8;Event; O;0
8;Event; P;0
8;Event; Q;0
8;Event; R;0
8;Event; S;0
8;Event; T;0
8;Event; X;0
8;Event;D;0
9;Censored;;28
9;Event;  I;0
9;Event; A;0
9;Event; B;0
9;Event; C;1
9;Event; E;0
9;Event; F;0
9;Event; G;0
9;Event; H;0
9;Event; J;0
9;Event; K;0
9;Event; L;1
9;Event; M;2
9;Event; N;0
9;Event; O;0
9;Event; P;0
9;Event; Q;0
9;Event; R;0
9;Event; S;0
9;Event; T;0
9;Event; X;0
9;Event;D;0
10;Censored;;28
10;Event;  I;0
10;Event; A;5
10;Event; B;0
10;Event; C;0
10;Event; E;0
10;Event; F;0
10;Event; G;0
10;Event; H;0
10;Event; J;0
10;Event; K;0
10;Event; L;0
10;Event; M;0
10;Event; N;0
10;Event; O;0
10;Event; P;0
10;Event; Q;0
10;Event; R;0
10;Event; S;1
10;Event; T;1
10;Event; X;0
10;Event;D;0
11;Censored;;29
11;Event;  I;0
11;Event; A;0
11;Event; B;0
11;Event; C;0
11;Event; E;2
11;Event; F;0
11;Event; G;0
11;Event; H;0
11;Event; J;0
11;Event; K;1
11;Event; L;0
11;Event; M;0
11;Event; N;0
11;Event; O;2
11;Event; P;0
11;Event; Q;1
11;Event; R;0
11;Event; S;0
11;Event; T;0
11;Event; X;0
11;Event;D;0
12;Censored;;27
12;Event;  I;0
12;Event; A;1
12;Event; B;0
12;Event; C;0
12;Event; E;0
12;Event; F;0
12;Event; G;0
12;Event; H;0
12;Event; J;0
12;Event; K;2
12;Event; L;0
12;Event; M;0
12;Event; N;0
12;Event; O;1
12;Event; P;0
12;Event; Q;1
12;Event; R;0
12;Event; S;0
12;Event; T;0
12;Event; X;0
12;Event;D;0
13;Censored;;25
13;Event;  I;0
13;Event; A;0
13;Event; B;1
13;Event; C;0
13;Event; E;0
13;Event; F;0
13;Event; G;0
13;Event; H;0
13;Event; J;0
13;Event; K;2
13;Event; L;5
13;Event; M;2
13;Event; N;0
13;Event; O;2
13;Event; P;0
13;Event; Q;0
13;Event; R;0
13;Event; S;0
13;Event; T;0
13;Event; X;0
13;Event;D;0
14;Censored;;24
14;Event;  I;0
14;Event; A;0
14;Event; B;0
14;Event; C;0
14;Event; E;0
14;Event; F;0
14;Event; G;0
14;Event; H;0
14;Event; J;1
14;Event; K;1
14;Event; L;0
14;Event; M;0
14;Event; N;1
14;Event; O;0
14;Event; P;0
14;Event; Q;0
14;Event; R;0
14;Event; S;0
14;Event; T;0
14;Event; X;0
14;Event;D;1
15;Censored;;1
15;Event;  I;0
15;Event; A;1
15;Event; B;1
15;Event; C;0
15;Event; E;0
15;Event; F;2
15;Event; G;0
15;Event; H;0
15;Event; J;0
15;Event; K;0
15;Event; L;0
15;Event; M;1
15;Event; N;0
15;Event; O;0
15;Event; P;0
15;Event; Q;0
15;Event; R;0
15;Event; S;0
15;Event; T;0
15;Event; X;0
15;Event;D;0
16;Censored;;11
16;Event;  I;0
16;Event; A;0
16;Event; B;0
16;Event; C;0
16;Event; E;0
16;Event; F;1
16;Event; G;0
16;Event; H;0
16;Event; J;0
16;Event; K;4
16;Event; L;0
16;Event; M;0
16;Event; N;2
16;Event; O;4
16;Event; P;0
16;Event; Q;1
16;Event; R;0
16;Event; S;1
16;Event; T;0
16;Event; X;0
16;Event;D;0
17;Censored;;7
17;Event;  I;0
17;Event; A;3
17;Event; B;0
17;Event; C;0
17;Event; E;0
17;Event; F;1
17;Event; G;0
17;Event; H;0
17;Event; J;0
17;Event; K;1
17;Event; L;3
17;Event; M;0
17;Event; N;0
17;Event; O;1
17;Event; P;0
17;Event; Q;0
17;Event; R;0
17;Event; S;0
17;Event; T;0
17;Event; X;0
17;Event;D;0
18;Censored;;12
18;Event;  I;0
18;Event; A;1
18;Event; B;0
18;Event; C;0
18;Event; E;0
18;Event; F;0
18;Event; G;0
18;Event; H;0
18;Event; J;0
18;Event; K;0
18;Event; L;2
18;Event; M;0
18;Event; N;1
18;Event; O;2
18;Event; P;0
18;Event; Q;0
18;Event; R;0
18;Event; S;0
18;Event; T;0
18;Event; X;1
18;Event;D;1
19;Censored;;14
19;Event;  I;0
19;Event; A;1
19;Event; B;0
19;Event; C;0
19;Event; E;0
19;Event; F;1
19;Event; G;0
19;Event; H;0
19;Event; J;0
19;Event; K;2
19;Event; L;4
19;Event; M;1
19;Event; N;0
19;Event; O;0
19;Event; P;0
19;Event; Q;1
19;Event; R;0
19;Event; S;0
19;Event; T;0
19;Event; X;0
19;Event;D;1
20;Censored;;12
20;Event;  I;0
20;Event; A;0
20;Event; B;0
20;Event; C;0
20;Event; E;0
20;Event; F;1
20;Event; G;0
20;Event; H;2
20;Event; J;0
20;Event; K;0
20;Event; L;0
20;Event; M;1
20;Event; N;0
20;Event; O;0
20;Event; P;1
20;Event; Q;0
20;Event; R;0
20;Event; S;0
20;Event; T;0
20;Event; X;0
20;Event;D;1
21;Censored;;14
21;Event;  I;0
21;Event; A;0
21;Event; B;0
21;Event; C;0
21;Event; E;0
21;Event; F;1
21;Event; G;0
21;Event; H;0
21;Event; J;0
21;Event; K;1
21;Event; L;0
21;Event; M;0
21;Event; N;0
21;Event; O;0
21;Event; P;0
21;Event; Q;0
21;Event; R;0
21;Event; S;0
21;Event; T;0
21;Event; X;0
21;Event;D;1
22;Censored;;11
22;Event;  I;0
22;Event; A;3
22;Event; B;0
22;Event; C;0
22;Event; E;0
22;Event; F;0
22;Event; G;0
22;Event; H;0
22;Event; J;0
22;Event; K;1
22;Event; L;0
22;Event; M;1
22;Event; N;0
22;Event; O;0
22;Event; P;0
22;Event; Q;0
22;Event; R;0
22;Event; S;0
22;Event; T;0
22;Event; X;0
22;Event;D;1
23;Censored;;13
23;Event;  I;0
23;Event; A;0
23;Event; B;1
23;Event; C;0
23;Event; E;0
23;Event; F;0
23;Event; G;0
23;Event; H;0
23;Event; J;0
23;Event; K;0
23;Event; L;0
23;Event; M;0
23;Event; N;0
23;Event; O;1
23;Event; P;0
23;Event; Q;0
23;Event; R;0
23;Event; S;0
23;Event; T;0
23;Event; X;0
23;Event;D;1
24;Censored;;9
24;Event;  I;1
24;Event; A;1
24;Event; B;0
24;Event; C;0
24;Event; E;0
24;Event; F;0
24;Event; G;0
24;Event; H;0
24;Event; J;0
24;Event; K;4
24;Event; L;0
24;Event; M;0
24;Event; N;1
24;Event; O;2
24;Event; P;0
24;Event; Q;2
24;Event; R;0
24;Event; S;0
24;Event; T;0
24;Event; X;1
24;Event;D;1
25;Censored;;8
25;Event;  I;0
25;Event; A;0
25;Event; B;0
25;Event; C;1
25;Event; E;0
25;Event; F;0
25;Event; G;2
25;Event; H;0
25;Event; J;0
25;Event; K;1
25;Event; L;1
25;Event; M;0
25;Event; N;0
25;Event; O;3
25;Event; P;0
25;Event; Q;1
25;Event; R;0
25;Event; S;0
25;Event; T;0
25;Event; X;0
25;Event;D;0
26;Censored;;12
26;Event;  I;0
26;Event; A;0
26;Event; B;0
26;Event; C;1
26;Event; E;0
26;Event; F;0
26;Event; G;0
26;Event; H;1
26;Event; J;0
26;Event; K;0
26;Event; L;0
26;Event; M;0
26;Event; N;0
26;Event; O;0
26;Event; P;0
26;Event; Q;0
26;Event; R;0
26;Event; S;0
26;Event; T;0
26;Event; X;0
26;Event;D;1
27;Censored;;13
27;Event;  I;0
27;Event; A;0
27;Event; B;0
27;Event; C;0
27;Event; E;1
27;Event; F;1
27;Event; G;0
27;Event; H;0
27;Event; J;0
27;Event; K;0
27;Event; L;0
27;Event; M;0
27;Event; N;0
27;Event; O;2
27;Event; P;0
27;Event; Q;0
27;Event; R;1
27;Event; S;0
27;Event; T;0
27;Event; X;0
27;Event;D;0
28;Censored;;11
28;Event;  I;0
28;Event; A;0
28;Event; B;0
28;Event; C;0
28;Event; E;0
28;Event; F;0
28;Event; G;0
28;Event; H;0
28;Event; J;0
28;Event; K;1
28;Event; L;0
28;Event; M;0
28;Event; N;0
28;Event; O;0
28;Event; P;0
28;Event; Q;0
28;Event; R;0
28;Event; S;0
28;Event; T;0
28;Event; X;0
28;Event;D;1
29;Censored;;9
29;Event;  I;0
29;Event; A;0
29;Event; B;0
29;Event; C;0
29;Event; E;0
29;Event; F;0
29;Event; G;0
29;Event; H;0
29;Event; J;0
29;Event; K;0
29;Event; L;0
29;Event; M;0
29;Event; N;0
29;Event; O;0
29;Event; P;0
29;Event; Q;0
29;Event; R;0
29;Event; S;0
29;Event; T;0
29;Event; X;0
29;Event;D;0
30;Censored;;13
30;Event;  I;0
30;Event; A;0
30;Event; B;0
30;Event; C;0
30;Event; E;0
30;Event; F;0
30;Event; G;0
30;Event; H;0
30;Event; J;0
30;Event; K;0
30;Event; L;0
30;Event; M;0
30;Event; N;0
30;Event; O;0
30;Event; P;0
30;Event; Q;1
30;Event; R;0
30;Event; S;0
