Sample;Time;Event;Transmission
24;7068;1;Automatic
24;26744;0;Automatic
26;28;1;Automatic
26;13809;0;Automatic
27;48;1;Automatic
27;1440;1;Automatic
27;29834;0;Automatic
29;530;1;Automatic
29;25660;0;Automatic
31;21762;0;Automatic
32;14235;0;Automatic
34;1388;1;Automatic
34;21133;0;Automatic
35;21401;0;Automatic
98;21876;0;Automatic
107;5094;1;Automatic
107;18228;0;Automatic
108;21691;0;Automatic
109;20890;0;Automatic
110;22486;0;Automatic
111;19321;0;Automatic
112;21585;0;Automatic
113;18676;0;Automatic
114;23520;0;Automatic
115;17955;0;Automatic
116;19507;0;Automatic
117;24177;0;Automatic
118;22854;0;Automatic
119;17844;0;Automatic
120;22637;0;Automatic
121;375;1;Automatic
121;19607;0;Automatic
122;19403;0;Automatic
123;20997;0;Automatic
124;19175;0;Automatic
125;20425;0;Automatic
126;22149;0;Automatic
129;21144;0;Automatic
130;21237;0;Automatic
131;14281;0;Automatic
132;8250;1;Automatic
132;21974;0;Automatic
133;19250;1;Automatic
133;21888;0;Automatic
25;27099;0;Manual
28;21999;0;Manual
30;11891;1;Manual
30;27583;0;Manual
97;19966;0;Manual
99;26146;0;Manual
100;3648;1;Manual
100;13957;1;Manual
100;23193;0;Manual
101;19823;0;Manual
102;2890;1;Manual
102;22707;0;Manual
103;2714;1;Manual
103;19275;0;Manual
104;19803;0;Manual
105;19630;0;Manual
106;22056;0;Manual
127;22940;0;Manual
128;3240;1;Manual
128;7690;1;Manual
128;18965;0;Manual
