Interval;Time;Censored;Events;Sex
0;20;0;0;Male
1;22;1;3;Male
2;24;0;3;Male
3;26;1;3;Male
4;28;1;5;Male
5;30;3;6;Male
6;32;3;11;Male
7;34;5;6;Male
8;36;2;9;Male
9;38;3;6;Male
10;40;3;2;Male
11;45;7;7;Male
12;50;14;2;Male
13;55;5;0;Male
14;60;8;0;Male
15;99;3;0;Male
0;20;0;0;Female
1;22;0;0;Female
2;24;1;1;Female
3;26;2;6;Female
4;28;7;8;Female
5;30;3;6;Female
6;32;3;9;Female
7;34;3;7;Female
8;36;2;3;Female
9;38;1;5;Female
10;40;1;0;Female
11;45;9;0;Female
12;50;3;0;Female
13;55;4;0;Female
14;60;4;0;Female
15;99;2;0;Female
