Time;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81
25;0;0;0;0;0;0;0;0;0;0;0;0;0;491;
26;0;0;0;0;0;0;0;0;0;0;0;0;3404;;
27;0;0;0;0;0;0;0;0;0;0;0;6136;;;
28;0;0;0;0;0;0;0;0;0;0;3631;;;;
29;0;0;0;0;0;0;0;0;0;4564;;;;;
30;0;0;0;0;0;0;0;0;4981;;;;;;
31;0;0;0;0;0;0;0;4673;;;;;;;
32;0;0;0;0;0;0;3879;;;;;;;;
33;0;0;0;0;0;4157;;;;;;;;;
34;0;0;0;0;3289;;;;;;;;;;
35;0;0;0;3599;;;;;;;;;;;
36;0;0;4085;;;;;;;;;;;;
37;0;4486;;;;;;;;;;;;;
38;3834;;;;;;;;;;;;;;
