Time;Censored;D; N; F; O; H; K; B; C; G; L; A; Q; R; E;  I; J; M; S; X; P; T
1;;;;;2;;;;;;;1;;;;;;;;;;
2;;;1;;;;;;;;1;;;;;;;;;;;
3;;;;;;;;;;;;;1;1;;;;;;;;
4;;1;1;;;;;;;;;1;;;;;;2;;;;
5;;;;;1;;;;;;;1;;;;;;;;;;
6;;1;;;;;1;;;;;1;;;;;;;;;;
7;;;;;;;1;;;;2;2;;;;;1;;;;;
8;13;;;;;;1;;;;;4;;;;;;1;;;;
9;28;;;;;;;;1;;1;;;;;;;2;;;;
10;28;;;;;;;;;;;5;;;;;;;1;;;1
11;29;;;;2;;1;;;;;;1;;2;;;;;;;
12;27;;;;1;;2;;;;;1;1;;;;;;;;;
13;25;;;;2;;2;1;;;5;;;;;;;2;;;;
14;24;1;1;;;;1;;;;;;;;;;1;;;;;
15;1;;;2;;;;1;;;;1;;;;;;1;;;;
16;11;;2;1;4;;4;;;;;;1;;;;;;1;;;
17;7;;;1;1;;1;;;;3;3;;;;;;;;;;
18;12;1;1;;2;;;;;;2;1;;;;;;;;1;;
19;14;1;;1;;;2;;;;4;1;1;;;;;1;;;;
20;12;1;;1;;2;;;;;;;;;;;;1;;;1;
21;14;1;;1;;;1;;;;;;;;;;;;;;;
22;11;1;;;;;1;;;;;3;;;;;;1;;;;
23;13;1;;;1;;;1;;;;;;;;;;;;;;
24;9;1;1;;2;;4;;;;;1;2;;;1;;;;1;;
25;8;;;;3;;1;;1;2;1;;1;;;;;;;;;
26;12;1;;;;1;;;1;;;;;;;;;;;;;
27;13;;;1;2;;;;;;;;;1;1;;;;;;;
28;11;1;;;;;1;;;;;;;;;;;;;;;
29;9;;;;;;;;;;;;;;;;;;;;;
30;13;;;;;;;;;;;;1;;;;;;;;;
31;13;;;;;;;;;;;;;;;;;;;;;
32;12;;;;;;;;;;;;;;;;;;;;;
33;3;;;;;;;;;;;;;;;;;;;;;
