Transmission;Car;Mileage
Automatic;24;7068
Automatic;24;26744-
Automatic;26;28
Automatic;26;13809-
Automatic;27;48
Automatic;27;1440
Automatic;27;29834-
Automatic;29;530
Automatic;29;25660-
Automatic;31;21762-
Automatic;32;14235-
Automatic;34;1388
Automatic;34;21133-
Automatic;35;21401-
Automatic;98;21876-
Automatic;107;5094
Automatic;107;18228-
Automatic;108;21691-
Automatic;109;20890-
Automatic;110;22486-
Automatic;111;19321-
Automatic;112;21585-
Automatic;113;18676-
Automatic;114;23520-
Automatic;115;17955-
Automatic;116;19507-
Automatic;117;24177-
Automatic;118;22854-
Automatic;119;17844-
Automatic;120;22637-
Automatic;121;375
Automatic;121;19607-
Automatic;122;19403-
Automatic;123;20997-
Automatic;124;19175-
Automatic;125;20425-
Automatic;126;22149-
Automatic;129;21144-
Automatic;130;21237-
Automatic;131;14281-
Automatic;132;8250
Automatic;132;21974-
Automatic;133;19250
Automatic;133;21888-
Manual;25;27099-
Manual;28;21999-
Manual;30;11891
Manual;30;27583-
Manual;97;19966-
Manual;99;26146-
Manual;100;3648
Manual;100;13957
Manual;100;23193-
Manual;101;19823-
Manual;102;2890
Manual;102;22707-
Manual;103;2714
Manual;103;19275-
Manual;104;19803-
Manual;105;19630-
Manual;106;22056-
Manual;127;22940-
Manual;128;3240
Manual;128;7690
Manual;128;18965-
